#;Família (FB 2020);Espécie (FB 2020);Nome avaliação anterior;Categoria em 2014;Sugestão de Categoria 2021;EW;CR;EN,;VU;Mesma Categoria de Ameaça 2014;Aumentou a Categoria de Ameaça;Reduziu a Categoria de Ameaça;Entrou em Categoria de Ameaça;Saíram da Categoria de Ameaça;Saíram da Lista por serem sinonímias taxonômicas
568;Asteraceae;Stylotrichium corymbosum (DC.) Mattf.;Stylotrichium corymbosum;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
569;Asteraceae;Stylotrichium edmundoi G.M.Barroso;Stylotrichium edmundoi;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
570;Asteraceae;Stylotrichium glomeratum Bautista et al.;Stylotrichium glomeratum;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;X;;;;;
571;Asteraceae;Stylotrichium sucrei R.M.King & H.Rob.;Stylotrichium sucrei;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
572;Asteraceae;Symphyopappus uncinatus H.Rob.;Symphyopappus uncinatus;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
573;Asteraceae;Trichocline linearifolia Malme;Trichocline linearifolia;Vulnerável (VU);Vulnerável (VU);;;;X;X;;;;;
574;Asteraceae;Trichogoniopsis podocarpa (DC.) R.M.King & H.Rob.;Trichogoniopsis podocarpa;;Em Perigo (EN);;;X;;;;;X;;
575;Asteraceae;Trixis glaziovii Baker;Trixis glaziovii;Vulnerável (VU);Vulnerável (VU);;;;X;X;;;;;
576;Asteraceae;Trixis pallida Less.;Trixis pallida;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;X;;;;;
577;Asteraceae;Vernonanthura fagifolia (Gardner) H.Rob.;Vernonanthura fagifolia;Vulnerável (VU);Vulnerável (VU);;;;X;X;;;;;
578;Asteraceae;Vernonanthura spathulata M.Monge & Semir;Vernonanthura spathulata;;Criticamente em Perigo (CR);;X;;;;;;X;;
579;Asteraceae;Vickia rotundifolia (Less.) Roque & G.Sancho;Gochnatia rotundifolia;Vulnerável (VU);Vulnerável (VU);;;;X;X;;;;;
580;Asteraceae;Wedelia macedoi H.Rob.;Wedelia macedoi;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;X;;;;;
581;Asteraceae;Wunderlichia azulensis Maguire & G.M.Barroso;Wunderlichia azulensis;Em Perigo (EN);Vulnerável (VU);;;;X;;;X;;;
582;Asteraceae;Wunderlichia insignis Baill.;Wunderlichia insignis;;Em Perigo (EN);;;X;;;;;X;;
583;Asteraceae;Wunderlichia senae Glaz. ex Maguire & G.M.Barroso;Wunderlichia senae;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
584;Begoniaceae;Begonia albidula Brade;Begonia albidula;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
585;Begoniaceae;Begonia altamiroi Brade;Begonia altamiroi;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
586;Begoniaceae;Begonia apparicioi Brade;Begonia apparicioi;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
587;Begoniaceae;Begonia bahiensis A.DC.;Begonia bahiensis;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
588;Begoniaceae;Begonia besleriifolia Schott;Begonia besleriifolia;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
589;Begoniaceae;Begonia bonitoensis Brade;Begonia bonitoensis;;Criticamente em Perigo (CR);;X;;;;;;X;;
590;Begoniaceae;Begonia coccinea Hook.;Begonia coccinea;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
591;Begoniaceae;Begonia collaris Brade;Begonia collaris;;Em Perigo (EN);;;X;;;;;X;;
592;Begoniaceae;Begonia concinna Schott;Begonia concinna;;Em Perigo (EN);;;X;;;;;X;;
593;Begoniaceae;Begonia crispula Brade;Begonia crispula;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;X;;;;;
594;Begoniaceae;Begonia curtii L.B.Sm. & B.G.Schub.;Begonia curtii;Vulnerável (VU);Vulnerável (VU);;;;X;X;;;;;
595;Begoniaceae;Begonia densifolia Irmsch.;Begonia densifolia;;Em Perigo (EN);;;X;;;;;X;;
596;Begoniaceae;Begonia dentatiloba A.DC.;Begonia dentatiloba;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
597;Begoniaceae;Begonia depauperata Schott;Begonia depauperata;;Em Perigo (EN);;;X;;;;;X;;
598;Begoniaceae;Begonia edmundoi Brade;Begonia edmundoi;;Em Perigo (EN);;;X;;;;;X;;
599;Begoniaceae;Begonia epipsila Brade;Begonia epipsila;;Em Perigo (EN);;;X;;;;;X;;
600;Begoniaceae;Begonia espiritosantensis E.L.Jacques & Mamede;Begonia espiritosantensis;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
601;Begoniaceae;Begonia friburgensis Brade;Begonia friburgensis;;Em Perigo (EN);;;X;;;;;X;;
602;Begoniaceae;Begonia handroi Brade;Begonia handroi;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
603;Begoniaceae;Begonia ibitiocensis E.L.Jacques & Mamede;Begonia ibitiocensis;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
604;Begoniaceae;Begonia inconspicua Brade;Begonia inconspicua;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;X;;;;;
605;Begoniaceae;Begonia itaguassuensis Brade;Begonia itaguassuensis;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
606;Begoniaceae;Begonia itatinensis Irmsch. ex Brade;Begonia itatinensis;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
607;Begoniaceae;Begonia jocelinoi Brade;Begonia jocelinoi;;Criticamente em Perigo (CR);;X;;;;;;X;;
608;Begoniaceae;Begonia jureiensis S.J.Gomes da Silva & Mamede;Begonia jureiensis;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;X;;;;;
609;Begoniaceae;Begonia kuhlmannii Brade;Begonia kuhlmannii;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
610;Begoniaceae;Begonia lanstyakii Brade;Begonia lanstyakii;;Criticamente em Perigo (CR);;X;;;;;;X;;
611;Begoniaceae;Begonia larorum L.B.Sm. & Wassh.;Begonia larorum;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;X;;;;;
612;Begoniaceae;Begonia lunaris E.L.Jacques;Begonia lunaris;;Em Perigo (EN);;;X;;;;;X;;
613;Begoniaceae;Begonia olsoniae L.B.Sm. & B.G.Schub.;Begonia olsoniae;;Vulnerável (VU);;;;X;;;;X;;
614;Begoniaceae;Begonia organensis Brade;Begonia organensis;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
615;Begoniaceae;Begonia paranaensis Brade;Begonia paranaensis;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
616;Begoniaceae;Begonia paulensis A.DC.;Begonia paulensis;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
617;Begoniaceae;Begonia perdusenii Brade;Begonia perdusenii;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
618;Begoniaceae;Begonia piresiana Handro;Begonia piresiana;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;X;;;;;
619;Begoniaceae;Begonia pluvialis L.B.Sm. ex S.F.Sm. & Wassh.;Begonia pluvialis;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
620;Begoniaceae;Begonia polygonifolia A.DC.;Begonia polygonifolia;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
621;Begoniaceae;Begonia ramentacea Paxton;Begonia ramentacea;;Vulnerável (VU);;;;X;;;;X;;
622;Begoniaceae;Begonia rubropilosa A.DC.;Begonia rubropilosa;;Criticamente em Perigo (CR);;X;;;;;;X;;
623;Begoniaceae;Begonia ruschii L.Kollmann;Begonia ruschii;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;X;;;;;
624;Begoniaceae;Begonia salesopolensis S.J.Gomes da Silva & Mamede;Begonia salesopolensis;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;X;;;;;
625;Begoniaceae;Begonia sanguinea Raddi;Begonia sanguinea;;Vulnerável (VU);;;;X;;;;X;;
626;Begoniaceae;Begonia santoslimae Brade;Begonia santoslimae;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
627;Begoniaceae;Begonia scharffii Hook.;Begonia scharffii;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;X;;;;;
628;Begoniaceae;Begonia semidigitata Brade;Begonia semidigitata;;Em Perigo (EN);;;X;;;;;X;;
629;Begoniaceae;Begonia stenolepis L.B.Sm. & R.C.Sm.;Begonia stenolepis;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
630;Begoniaceae;Begonia sylvatica Meisn. ex A.DC.;Begonia sylvatica;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
631;Begoniaceae;Begonia sylvestris A.DC.;Begonia sylvestris;;Em Perigo (EN);;;X;;;;;X;;
632;Begoniaceae;Begonia toledoana Handro;Begonia toledoana;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
633;Begoniaceae;Begonia tomentosa Schott;Begonia tomentosa;;Vulnerável (VU);;;;X;;;;X;;
634;Begoniaceae;Begonia undulata Schott;Begonia undulata;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
635;Begoniaceae;Begonia venosa Skan ex Hook.;Begonia venosa;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;X;;;;;
636;Begoniaceae;Begonia vicina Irmsch.;Begonia vicina;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
637;Berberidaceae;Berberis campos-portoi Brade;Berberis campos-portoi;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;X;;;;;
638;Bignoniaceae;Adenocalymma dichilum A.H.Gentry;Adenocalymma dichilum;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
639;Bignoniaceae;Adenocalymma ubatubense Assis & Semir;Adenocalymma ubatubense;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;X;;;;;
640;Bignoniaceae;Anemopaegma arvense (Vell.) Stellfeld ex de Souza;Anemopaegma arvense;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
641;Bignoniaceae;Anemopaegma mirabile (Sandwith) A.H.Gentry;Anemopaegma mirabile;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;X;;;;;
642;Bignoniaceae;Bignonia costata (Bureau & K.Schum.) L.G.Lohmann;Bignonia costata;;Vulnerável (VU);;;;X;;;;X;;
643;Bignoniaceae;Fridericia crassa (Bureau & K.Schum.) L.G.Lohmann;Fridericia crassa;Vulnerável (VU);Vulnerável (VU);;;;X;X;;;;;
644;Bignoniaceae;Fridericia elegans (Vell.) L.G.Lohmann;Fridericia elegans;;Em Perigo (EN);;;X;;;;;X;;
645;Bignoniaceae;Handroanthus arianeae (A.H.Gentry) S.Grose;Handroanthus arianeae;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
646;Bignoniaceae;Handroanthus botelhensis (A.H.Gentry) S.Grose;Handroanthus botelhensis;;Em Perigo (EN);;;X;;;;;X;;
647;Bignoniaceae;Handroanthus cristatus (A.H.Gentry) S.Grose;Handroanthus cristatus;;Em Perigo (EN);;;X;;;;;X;;
648;Bignoniaceae;Handroanthus grandiflorus Espirito-Santo & M.M. Silva;Handroanthus grandiflorus;;Criticamente em Perigo (CR);;X;;;;;;X;;
649;Bignoniaceae;Handroanthus riodocensis (A.H.Gentry) S.Grose;Handroanthus riodocensis;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
650;Bignoniaceae;Handroanthus spongiosus (Rizzini) S.Grose;Handroanthus spongiosus;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
651;Bignoniaceae;Jacaranda crassifolia Morawetz;Jacaranda crassifolia;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
652;Bignoniaceae;Jacaranda egleri Sandwith;Jacaranda egleri;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;X;;;;;
653;Bignoniaceae;Jacaranda grandifoliolata A.H.Gentry;Jacaranda grandifoliolata;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
654;Bignoniaceae;Jacaranda microcalyx A.H.Gentry;Jacaranda microcalyx;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
655;Bignoniaceae;Jacaranda rugosa A.H.Gentry;Jacaranda rugosa;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
656;Bignoniaceae;Paratecoma peroba (Record) Kuhlm.;Paratecoma peroba;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
657;Bignoniaceae;Pleonotoma bracteata A.H.Gentry;Pleonotoma bracteata;Vulnerável (VU);Vulnerável (VU);;;;X;X;;;;;
658;Bignoniaceae;Sparattosperma catingae A.H.Gentry;Sparattosperma catingae;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
659;Bignoniaceae;Tabebuia cassinoides (Lam.) DC.;Tabebuia cassinoides;Em Perigo (EN);Vulnerável (VU);;;;X;;;X;;;
660;Bignoniaceae;Tabebuia nodosa (Griseb.) Griseb.;Tabebuia nodosa;;Em Perigo (EN);;;X;;;;;X;;
661;Blechnaceae;Austroblechnum andinum (Baker) Gasper & V.A.O. Dittrich;Blechnum andinum;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;X;;;;;
662;Blechnaceae;Austroblechnum squamipes (Hieron.) Gasper & V.A.O. Dittrich;Blechnum squamipes;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
663;Blechnaceae;Blechnum heringeri Brade;Blechnum heringeri;Vulnerável (VU);Vulnerável (VU);;;;X;X;;;;;
664;Blechnaceae;Cranfillia caudata (Baker) V.A.O. Dittrich & Gasper;Blechnum sprucei;Vulnerável (VU);Vulnerável (VU);;;;X;X;;;;;
665;Boraginaceae;Cordia blanchetii A.DC.;Cordia blanchetii;;Em Perigo (EN);;;X;;;;;X;;
666;Boraginaceae;Cordia candida Vell.;Cordia candida;;Em Perigo (EN);;;X;;;;;X;;
667;Boraginaceae;Cordia fusca M.Stapf;Cordia fusca;;Em Perigo (EN);;;X;;;;;X;;
668;Boraginaceae;Cordia gardneri I.M.Johnst.;Cordia gardneri;;Em Perigo (EN);;;X;;;;;X;;
669;Boraginaceae;Cordia hatschbachii J.S.Mill.;Cordia hatschbachii;;Vulnerável (VU);;;;X;;;;X;;
670;Boraginaceae;Cordia latiloba I.M.Johnst.;Cordia latiloba;;Em Perigo (EN);;;X;;;;;X;;
671;Boraginaceae;Cordia ochnacea DC.;Cordia ochnacea;;Em Perigo (EN);;;X;;;;;X;;
672;Boraginaceae;Cordia restingae M.Stapf;Cordia restingae;;Em Perigo (EN);;;X;;;;;X;;
673;Boraginaceae;Cordia ulei I.M.Johnst.;Cordia ulei;;Em Perigo (EN);;;X;;;;;X;;
674;Bromeliaceae;Aechmea alopecurus Mez;Aechmea alopecurus;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
675;Bromeliaceae;Aechmea amicorum B.R. Silva & H. Luther;Aechmea amicorum;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
676;Bromeliaceae;Aechmea apocalyptica Reitz;Aechmea apocalyptica;Vulnerável (VU);Vulnerável (VU);;;;X;X;;;;;
677;Bromeliaceae;Aechmea azurea L.B.Sm.;Aechmea azurea;Vulnerável (VU);Vulnerável (VU);;;;X;X;;;;;
678;Bromeliaceae;Aechmea bambusoides L.B.Sm. & Reitz;Aechmea bambusoides;Vulnerável (VU);Vulnerável (VU);;;;X;X;;;;;
679;Bromeliaceae;Aechmea caesia E.Morren ex Baker;Aechmea caesia;;Em Perigo (EN);;;X;;;;;X;;
680;Bromeliaceae;Aechmea cariocae L.B.Sm.;Aechmea cariocae;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
681;Bromeliaceae;Aechmea castanea L.B.Sm.;Aechmea castanea;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
682;Bromeliaceae;Aechmea echinata (Leme) Leme;Aechmea echinata;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
683;Bromeliaceae;Aechmea fasciata (Lindl.) Baker;Aechmea fasciata;;Vulnerável (VU);;;;X;;;;X;;
684;Bromeliaceae;Aechmea fosteriana L.B.Sm.;Aechmea fosteriana;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
685;Bromeliaceae;Aechmea kertesziae Reitz;Aechmea kertesziae;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
686;Bromeliaceae;Aechmea kleinii Reitz;Aechmea kleinii;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
687;Bromeliaceae;Aechmea macrochlamys L.B.Sm.;Aechmea macrochlamys;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
688;Bromeliaceae;Aechmea marginalis Leme & J.A.Siqueira;Aechmea marginalis;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;X;;;;;
689;Bromeliaceae;Aechmea muricata (Arruda) L.B.Sm.;Aechmea muricata;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
690;Bromeliaceae;Aechmea mutica L.B.Sm.;Aechmea mutica;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
691;Bromeliaceae;Aechmea orlandiana L.B.Sm.;Aechmea orlandiana;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;X;;;;;
692;Bromeliaceae;Aechmea sphaerocephala Baker;Aechmea sphaerocephala;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
693;Bromeliaceae;Aechmea triangularis L.B.Sm.;Aechmea triangularis;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
694;Bromeliaceae;Aechmea vanhoutteana (Van Houtte) Mez;Aechmea vanhoutteana;Vulnerável (VU);Vulnerável (VU);;;;X;X;;;;;
695;Bromeliaceae;Aechmea werdermannii Harms;Aechmea werdermannii;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
696;Bromeliaceae;Aechmea winkleri Reitz;Aechmea winkleri;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;X;;;;;
697;Bromeliaceae;Alcantarea benzingii Leme;Alcantarea benzingii;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;X;;;;;
698;Bromeliaceae;Alcantarea duarteana (L.B.Sm.) J.R.Grant;Alcantarea duarteana;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
699;Bromeliaceae;Alcantarea farneyi (Martinelli & A.F.Costa) J.R.Grant;Alcantarea farneyi;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;X;;;;;
700;Bromeliaceae;Alcantarea geniculata (Wawra) J.R.Grant;Alcantarea geniculata;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
701;Bromeliaceae;Alcantarea glaziouana (Leme) J.R.Grant;Alcantarea glaziouana;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
702;Bromeliaceae;Alcantarea heloisae J.R.Grant;Alcantarea heloisae;;Em Perigo (EN);;;X;;;;;X;;
703;Bromeliaceae;Alcantarea imperialis (Carrière) Harms;Alcantarea imperialis;Vulnerável (VU);Vulnerável (VU);;;;X;X;;;;;
704;Bromeliaceae;Alcantarea martinellii Versieux & Wand.;Alcantarea martinellii;;Vulnerável (VU);;;;X;;;;X;;
705;Bromeliaceae;Alcantarea nahoumii (Leme) J.R.Grant;Alcantarea nahoumii;Vulnerável (VU);Vulnerável (VU);;;;X;X;;;;;
706;Bromeliaceae;Alcantarea nevaresii (Leme) J.R.Grant;Alcantarea nevaresii;Em Perigo (EN);Vulnerável (VU);;;;X;;;X;;;
707;Bromeliaceae;Alcantarea tortuosa Versieux & Wand.;Alcantarea tortuosa;;Vulnerável (VU);;;;X;;;;X;;
708;Bromeliaceae;Alcantarea vinicolor (E.Pereira & Reitz) J.R.Grant;Alcantarea vinicolor;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
709;Bromeliaceae;Araeococcus montanus Leme;Araeococcus montanus;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
710;Bromeliaceae;Billbergia brasiliensis L.B.Sm.;Billbergia brasiliensis;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
711;Bromeliaceae;Bromelia braunii Leme & E.Esteves;Bromelia braunii;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;X;;;;;
712;Bromeliaceae;Canistropsis albiflora (L.B.Sm.) H.Luther & Leme;Canistropsis albiflora;Vulnerável (VU);Vulnerável (VU);;;;X;X;;;;;
713;Bromeliaceae;Canistropsis elata (E.Pereira & Leme) Leme;Canistropsis elata;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;X;;;;;
714;Bromeliaceae;Canistropsis marceloi (E.Pereira & Moutinho) Leme;Canistropsis marceloi;;Vulnerável (VU);;;;X;;;;X;;
715;Bromeliaceae;Canistropsis pulcherrima (E.Pereira & Leme) Leme;Canistropsis pulcherrima;;Em Perigo (EN);;;X;;;;;X;;
716;Bromeliaceae;Canistrum alagoanum Leme & J.A.Siqueira;Canistrum alagoanum;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
717;Bromeliaceae;Canistrum aurantiacum E.Morren;Canistrum aurantiacum;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
718;Bromeliaceae;Canistrum camacaense Martinelli & Leme;Canistrum camacaense;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
719;Bromeliaceae;Canistrum fosterianum L.B.Sm.;Canistrum fosterianum;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;X;;;;;
720;Bromeliaceae;Canistrum guzmanioides Leme;Canistrum guzmanioides;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
721;Bromeliaceae;Canistrum montanum Leme;Canistrum montanum;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
722;Bromeliaceae;Canistrum pickelii (A.Lima & L.B.Sm.) Leme & J.A.Siqueira;Canistrum pickelii;Vulnerável (VU);Vulnerável (VU);;;;X;X;;;;;
723;Bromeliaceae;Canistrum triangulare L.B.Sm. & Reitz;Canistrum triangulare;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
724;Bromeliaceae;Cryptanthus bromelioides Otto & A.Dietr.;Cryptanthus bromelioides;;Em Perigo (EN);;;X;;;;;X;;
725;Bromeliaceae;Cryptanthus capitatus Leme;Cryptanthus capitatus;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
726;Bromeliaceae;Cryptanthus coriaceus Leme;Cryptanthus coriaceus;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
727;Bromeliaceae;Cryptanthus dorothyae Leme;Cryptanthus dorothyae;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
728;Bromeliaceae;Cryptanthus maritimus L.B.Sm.;Cryptanthus maritimus;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
729;Bromeliaceae;Cryptanthus minarum L.B.Sm.;Cryptanthus minarum;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
730;Bromeliaceae;Cryptanthus sinuosus L.B.Sm.;Cryptanthus sinuosus;;Em Perigo (EN);;;X;;;;;X;;
731;Bromeliaceae;Cryptanthus zonatus (Vis.) Vis.;Cryptanthus fosterianus;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;X;;;;;
732;Bromeliaceae;Deuterocohnia meziana Kuntze ex Mez;Deuterocohnia meziana;Vulnerável (VU);Vulnerável (VU);;;;X;X;;;;;
733;Bromeliaceae;Dyckia agudensis Irgang & Sobral;Dyckia agudensis;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;X;;;;;
734;Bromeliaceae;Dyckia delicata Larocca & Sobral;Dyckia delicata;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;X;;;;;
735;Bromeliaceae;Dyckia distachya Hassl.;Dyckia distachya;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;X;;;;;
736;Bromeliaceae;Dyckia fosteriana L.B.Sm.;Dyckia fosteriana;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
737;Bromeliaceae;Dyckia hatschbachii L.B.Sm.;Dyckia hatschbachii;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;X;;;;;
738;Bromeliaceae;Dyckia ibiramensis Reitz;Dyckia ibiramensis;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
739;Bromeliaceae;Dyckia maritima Baker;Dyckia maritima;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
740;Bromeliaceae;Dyckia martinellii B.R.Silva & Forzza;Dyckia martinellii;;Criticamente em Perigo (CR);;X;;;;;;X;;
741;Bromeliaceae;Dyckia monticola L.B.Sm. & Reitz;Dyckia monticola;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;X;;;;;
742;Bromeliaceae;Dyckia rariflora Schult. & Schult.f.;Dyckia rariflora;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
743;Bromeliaceae;Dyckia reitzii L.B.Sm.;Dyckia reitzii;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
744;Bromeliaceae;Dyckia remotiflora Otto & A.Dietr.;Dyckia remotiflora;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
745;Bromeliaceae;Dyckia ursina L.B.Sm.;Dyckia ursina;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;X;;;;;
746;Bromeliaceae;Eduandrea selloana (Baker) Leme et al.;Eduandrea selloana;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
747;Bromeliaceae;Encholirium biflorum (Mez) Forzza;Encholirium biflorum;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;X;;;;;
748;Bromeliaceae;Encholirium disjunctum Forzza;Encholirium disjunctum;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;X;;;;;
749;Bromeliaceae;Encholirium gracile L.B.Sm.;Encholirium gracile;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
750;Bromeliaceae;Encholirium heloisae (L.B.Sm.) Forzza & Wand.;Encholirium heloisae;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
751;Bromeliaceae;Encholirium horridum L.B.Sm.;Encholirium horridum;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
752;Bromeliaceae;Encholirium irwinii L.B.Sm.;Encholirium irwinii;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;X;;;;;
753;Bromeliaceae;Encholirium kranzianum Leme & Forzza;Encholirium kranzianum;;Criticamente em Perigo (CR);;X;;;;;;X;;
754;Bromeliaceae;Encholirium longiflorum Leme;Encholirium longiflorum;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;X;;;;;
755;Bromeliaceae;Encholirium luxor L.B.Sm. & R.W.Read;Encholirium luxor;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
756;Bromeliaceae;Encholirium pedicellatum (Mez) Rauh;Encholirium pedicellatum;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;X;;;;;
757;Bromeliaceae;Encholirium scrutor (L.B.Sm.) Rauh;Encholirium scrutor;Em Perigo (EN);Em Perigo (EN);;;X;;X;;;;;
758;Bromeliaceae;Encholirium splendidum Forzza;Encholirium splendidum;;Em Perigo (EN);;;X;;;;;X;;
759;Bromeliaceae;Encholirium vogelii Rauh;Encholirium vogelii;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;X;;;;;
